City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,57.56,44,0,13.0,CA,1684375742
1,hasaki,35.7333,140.8333,93.22,67,71,5.88,JP,1684375984
2,fale old settlement,-9.3852,-171.2468,83.64,78,100,10.13,TK,1684375984
3,prince rupert,54.3161,-130.3201,64.38,66,15,2.01,CA,1684375984
4,utrik,11.2278,169.8474,81.27,78,20,16.53,MH,1684375984
5,mournies,35.4764,24.0092,61.83,82,20,18.41,GR,1684375985
6,blackmans bay,-43.0167,147.3167,52.74,68,74,7.83,AU,1684375985
7,hermanus,-34.4187,19.2345,51.8,71,100,8.75,ZA,1684375985
8,port-aux-francais,-49.35,70.2167,46.53,98,100,32.17,TF,1684375985
9,fortaleza,-3.7227,-38.5247,83.21,83,40,8.05,BR,1684375735
10,talnakh,69.4865,88.3972,29.21,90,100,8.5,RU,1684375986
11,saipan,15.1355,145.701,85.64,100,40,14.97,MP,1684375986
12,isafjordur,66.0755,-23.124,43.18,86,100,6.46,IS,1684375986
13,callao,-12.0667,-77.15,73.69,68,100,13.8,PE,1684375986
14,nantucket,41.2835,-70.0995,49.14,52,0,20.71,US,1684375986
15,hithadhoo,-0.6,73.0833,82.85,76,5,8.86,MV,1684375986
16,bontang,0.1333,117.5,84.85,67,67,3.85,ID,1684375987
17,invercargill,-46.4,168.35,48.54,89,99,6.33,NZ,1684375987
18,georgetown,5.4112,100.3354,84.13,70,20,4.61,MY,1684375949
19,dunbar,38.3606,-81.7374,58.12,77,0,0.0,US,1684375987
20,solnechnyy,50.7214,136.6319,59.07,46,100,4.36,RU,1684375987
21,bageshwar,29.85,79.7667,76.51,34,82,0.54,IN,1684375988
22,grytviken,-54.2811,-36.5092,36.39,71,94,11.74,GS,1684375988
23,bredasdorp,-34.5322,20.0403,54.63,79,100,5.55,ZA,1684375988
24,aasiaat,68.7098,-52.8699,19.31,93,36,5.53,GL,1684375988
25,minas de marcona,-15.2119,-75.1103,58.46,85,59,11.86,PE,1684375988
26,vorgashor,67.5833,63.95,36.9,93,100,10.6,RU,1684375989
